ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces
8/9/19,443889.0625,Townhouse,60026,1835,7,2,1,No,3,0,2
8/25/20,1245375,SFH,60026,3728,13,4,1,Yes,5,1,2.5
2/14/20,722625,SFH,60025,3903,12,3,1,No,6,0,2
3/21/17,336662.9316,SFH,60077,2082,7,2,0,Yes,3,0,0
5/29/18,236915.9375,Condo,60076,1400,5,2,0,No,2,0,1
4/8/20,593475,SFH,60025,2110,11,2,0,No,3,0,1
11/9/18,517984.3906,SFH,60062,2763,10,2,1,No,5,0,2
7/19/19,185435.3125,Condo,60062,1430,5,2,0,No,2,0,1
11/27/19,52531.25,Condo,60202,800,4,1,0,No,1,0,0
11/12/20,451000,SFH,60025,3615,9,3,0,No,4,0,2
9/18/20,153750,SFH,60002,840,4,1,0,No,2,0,2.5
2/27/19,300478.75,Condo,60062,1400,5,2,0,No,2,0,2
7/12/19,309934.375,SFH,60053,1120,6,1,1,No,3,0,1.5
12/12/19,423401.875,SFH,60053,2000,11,3,0,Yes,3,1,1
7/26/19,798475,SFH,60091,2672,11,4,0,Yes,5,0,2
5/26/20,1021925,SFH,60062,3043,9,3,1,Yes,4,1,2
4/28/17,397372.6406,SFH,60077,2612,7,2,1,No,3,0,2
3/31/17,331143.8672,SFH,60076,1357,6,3,0,Yes,3,0,2
5/21/20,148625,SFH,60002,844,4,1,0,No,2,0,2
4/30/20,721600,SFH,60025,2675,9,2,1,Yes,3,0,2
12/6/19,615763.9581,Townhouse,60076,2500,7,2,2,No,3,0,2
10/10/19,241643.75,Condo,60202,1225,6,2,0,No,2,0,0
12/10/18,568598.25,SFH,60062,2500,9,2,1,No,4,0,2
11/30/20,343375,Condo,60202,1250,5,2,0,No,2,0,1
12/27/18,269222.6562,SFH,60062,1120,6,1,1,No,3,0,2
8/28/19,378225,Townhouse,60202,1700,6,2,1,No,3,0,0
8/28/19,221681.875,SFH,60002,1600,9,2,0,No,5,0,1
6/28/19,499046.875,SFH,60076,2187,8,2,0,No,4,0,1
5/23/19,357212.5,Condo,60062,1820,6,2,0,No,2,0,1
7/29/19,378225,SFH,60076,2383,8,2,1,Yes,4,0,2.5
5/4/20,743125,SFH,60025,2958,10,2,1,No,4,0,2
3/4/19,299428.125,Townhouse,60053,1600,7,2,1,No,3,0,2
6/28/19,803728.125,SFH,60026,3454,12,3,1,Yes,4,1,3
10/26/20,343375,SFH,60002,1100,5,1,0,No,2,0,2
12/6/19,480135.625,SFH,60025,2680,9,3,0,No,4,0,2
4/17/20,686750,SFH,60091,2630,9,2,0,No,3,0,2
7/26/19,845753.125,SFH,60091,3057,10,2,2,Yes,3,1,2
11/21/19,538970.625,SFH,60076,2546,11,3,1,Yes,3,1,2
